Country,Date,Sentiment Score,Positive,Negative,ratio
AE,22-03-2020,0.128112599,4,8,0.5
AE,23-03-2020,0.169946257,4,9,0.444444444
AE,24-03-2020,0.095714286,3,4,0.75
AE,25-03-2020,0.204930556,3,3,1
AE,26-03-2020,0.21471301,2,5,0.4
AE,27-03-2020,0.09359375,3,7,0.428571429
AE,28-03-2020,0.138971461,3,6,0.5
AE,30-03-2020,0.15327381,2,2,1
AE,31-03-2020,0.149074074,4,2,2
AE,01-04-2020,0.172727273,2,4,0.5
AE,03-04-2020,0.212954545,2,3,0.666666667
AE,05-04-2020,0.159895833,2,4,0.5
AE,08-04-2020,0.37398052,3,2,1.5
AE,09-04-2020,0.251483586,4,2,2
AE,10-04-2020,0.40010101,8,1,8
AE,11-04-2020,0.2,1,1,1
AE,13-04-2020,0.17842312,1,2,0.5
AE,16-04-2020,0.323333333,4,2,2
AE,17-04-2020,0.074810606,2,4,0.5
AE,18-04-2020,0.108333333,8,3,2.666666667
AE,19-04-2020,0.186868687,3,3,1
AE,22-04-2020,-0.006363636,1,4,0.25
AE,23-04-2020,0.417424242,4,1,4
AE,24-04-2020,0.050776515,2,8,0.25
AE,26-04-2020,0.196756453,4,5,0.8
AE,27-04-2020,0.194010417,6,10,0.6
AE,28-04-2020,0.245454545,3,4,0.75
AE,30-04-2020,0.105555556,1,5,0.2
AE,01-05-2020,0.292700872,7,4,1.75
AE,02-05-2020,0.233035714,4,3,1.333333333
AE,03-05-2020,0.2435,7,8,0.875
AE,04-05-2020,0.099084596,3,5,0.6
AE,05-05-2020,0.22979798,3,3,1
AE,06-05-2020,0.323611111,6,3,2
AE,07-05-2020,0.107361111,1,4,0.25
AE,08-05-2020,0.125357143,1,5,0.2
AE,09-05-2020,0.122740801,3,5,0.6
AE,10-05-2020,0.195,2,3,0.666666667
AE,11-05-2020,-0.032727273,1,4,0.25
AE,12-05-2020,0.082941919,3,5,0.6
AE,14-05-2020,0.106333333,2,3,0.666666667
AE,16-05-2020,0.15973545,2,7,0.285714286
AE,17-05-2020,0.262083333,4,1,4
AE,18-05-2020,0.108854167,2,6,0.333333333
AE,19-05-2020,0.030134921,2,13,0.153846154
AE,21-05-2020,0.1234375,2,4,0.5
AE,22-05-2020,0.043981481,1,9,0.111111111
AE,23-05-2020,0.35484375,5,3,1.666666667
AE,24-05-2020,0.249945887,5,6,0.833333333
AE,25-05-2020,0.093367404,2,4,0.5
AE,26-05-2020,0.297125,6,4,1.5
AE,27-05-2020,-0.009848485,1,5,0.2
AE,28-05-2020,0.099454545,1,4,0.25
AE,29-05-2020,0.08510101,1,7,0.142857143
AE,30-05-2020,0.106457431,2,5,0.4
AE,31-05-2020,0.07209391,4,7,0.571428571
AE,01-06-2020,0.380366162,5,1,5
AE,02-06-2020,0.122419508,1,7,0.142857143
AE,03-06-2020,0.065714286,2,5,0.4
AE,06-06-2020,0.158520379,4,4,1
AE,07-06-2020,0.224437304,6,6,1
AE,08-06-2020,0.287183622,7,3,2.333333333
AE,10-06-2020,0.136655844,3,4,0.75
AE,11-06-2020,0.102638889,2,6,0.333333333
AE,12-06-2020,0.097916667,2,6,0.333333333
AE,13-06-2020,0.123611111,1,2,0.5
AE,14-06-2020,0.121111626,1,6,0.166666667
AE,15-06-2020,0.214473027,7,6,1.166666667
AE,16-06-2020,0.214399663,5,3,1.666666667
AE,17-06-2020,-0.011458333,1,5,0.2
AE,18-06-2020,0.325,2,2,1
AE,19-06-2020,0.350055804,5,2,2.5
AE,20-06-2020,0.286762716,4,3,1.333333333
AE,22-06-2020,0.139814815,3,6,0.5
AE,24-06-2020,0.167568543,4,4,1
AE,25-06-2020,0.258674558,6,4,1.5
AE,27-06-2020,0.197430556,6,4,1.5
AE,28-06-2020,0.159126984,3,4,0.75
AE,29-06-2020,0.149503968,3,5,0.6
AE,30-06-2020,0.049968434,2,10,0.2
AE,01-07-2020,0.264814471,3,4,0.75
AE,02-07-2020,0.133333333,3,3,1
AE,04-07-2020,0.221145984,5,4,1.25
AE,07-07-2020,0.15,2,2,1
AE,08-07-2020,0.21871229,5,5,1
AE,09-07-2020,0.134632035,3,4,0.75
AE,10-07-2020,0.120404041,1,2,0.5
AE,11-07-2020,0.112118916,4,7,0.571428571
AE,13-07-2020,0.217619048,3,2,1.5
AE,14-07-2020,0.089919846,3,4,0.75
AE,17-07-2020,0.169444444,1,1,1
AE,18-07-2020,0.262307359,5,5,1
AE,19-07-2020,0.098901515,1,3,0.333333333
AE,21-07-2020,0.320984849,2,2,1
AE,22-07-2020,0.185416667,4,4,1
AE,23-07-2020,0.093055556,2,4,0.5
AE,24-07-2020,0.214974419,5,6,0.833333333
AE,25-07-2020,0.217152778,2,2,1
AE,27-07-2020,0.191585859,2,3,0.666666667
AE,28-07-2020,0.145875703,3,3,1
AE,29-07-2020,0.045833333,1,5,0.2
AE,30-07-2020,-0.051666667,2,3,0.666666667
AE,31-07-2020,0.369047619,6,1,6
AE,01-08-2020,0.023988095,1,3,0.333333333
AE,02-08-2020,0.23724683,3,4,0.75
AE,03-08-2020,0.005729167,3,3,1
AE,04-08-2020,0.176325758,3,5,0.6
AE,05-08-2020,0.191049383,5,4,1.25
AE,11-08-2020,0.208712121,3,1,3
AE,12-08-2020,0.168668831,3,4,0.75
AE,13-08-2020,0.184909091,3,2,1.5
AE,14-08-2020,0.186647727,2,2,1
AE,15-08-2020,0.254808502,3,3,1
AE,16-08-2020,0.138131313,1,4,0.25
AE,17-08-2020,0.098535353,2,7,0.285714286
AE,18-08-2020,0.129,5,5,1
AE,19-08-2020,0.116190476,1,4,0.25
AE,20-08-2020,0.178594276,2,4,0.5
AE,21-08-2020,0.167045455,2,5,0.4
AE,22-08-2020,0.232142857,2,2,1
AE,23-08-2020,0.182440476,1,3,0.333333333
AE,24-08-2020,0.09125,1,3,0.333333333
AE,25-08-2020,0.248200758,3,3,1
AE,26-08-2020,0.148180014,4,6,0.666666667
AE,27-08-2020,0.100347222,1,5,0.2
AE,28-08-2020,0.219744318,3,1,3
AE,30-08-2020,0.140103415,3,6,0.5
AE,31-08-2020,0.350411255,8,2,4
AE,01-09-2020,0.211058287,8,6,1.333333333
AE,02-09-2020,0.2125,3,3,1
AE,03-09-2020,0.275,2,1,2
AE,04-09-2020,0.249666667,3,2,1.5
AE,05-09-2020,0.30577877,5,1,5
AE,06-09-2020,0.215520833,2,3,0.666666667
AE,07-09-2020,0.094646464,1,4,0.25
AE,08-09-2020,0.274900794,6,1,6
AE,09-09-2020,0.245772727,3,2,1.5
AE,10-09-2020,0.124206349,2,2,1
AE,11-09-2020,0.554166667,2,1,2
AE,15-09-2020,0.220337302,2,2,1
AE,20-09-2020,0.133333333,1,2,0.5
AE,23-09-2020,0.413541667,3,1,3
AE,24-09-2020,0.55,1,1,1
AE,27-09-2020,0.193181818,1,1,1
AE,28-09-2020,0.2625,1,1,1
AE,29-09-2020,0.093055556,1,5,0.2
AE,12-10-2020,0.204166667,6,6,1
AE,17-10-2020,0.324479167,4,2,2
AE,21-10-2020,0.2,4,2,2
AE,23-10-2020,0.151268939,4,8,0.5
AE,26-10-2020,-0.030555556,1,2,0.5
AE,28-10-2020,0.208333334,1,1,1
AE,30-10-2020,0.25,1,1,1
AE,01-11-2020,0.209090909,2,2,1
AE,02-11-2020,0.408333333,2,1,2
AE,04-11-2020,0.169444444,1,2,0.5
AE,05-11-2020,0.309523809,1,1,1
AE,17-11-2020,0.0375,1,1,1
AE,18-11-2020,0.325,1,1,1
AG,12-08-2020,0.1125,1,3,0.333333333
AO,28-04-2020,0.125,1,1,1
AQ,02-05-2020,0.208333334,1,1,1
AR,28-03-2020,0.164285715,1,1,1
AR,26-04-2020,0.078030303,1,3,0.333333333
AR,29-04-2020,0.164393939,1,2,0.5
AR,30-04-2020,0.177777778,1,2,0.5
AR,03-05-2020,0.25,1,1,1
AR,04-05-2020,0.052922078,1,6,0.166666667
AR,06-05-2020,0.2125,2,2,1
AR,07-05-2020,0.183333334,1,1,1
AR,11-05-2020,0.233333334,1,1,1
AR,14-05-2020,0.133333333,1,2,0.5
AR,18-05-2020,0.145833333,1,2,0.5
AR,19-05-2020,0.069285714,1,6,0.166666667
AR,20-05-2020,0.127272727,1,4,0.25
AR,22-05-2020,0.351851852,1,2,0.5
AR,24-05-2020,0.254910714,2,2,1
AR,26-05-2020,0.178787879,1,2,0.5
AR,28-05-2020,0.188888889,1,2,0.5
AR,31-05-2020,0.1,1,3,0.333333333
AR,06-06-2020,0.104761905,2,5,0.4
AR,10-06-2020,0.166666667,1,2,0.5
AR,13-06-2020,-0.15,1,1,1
AR,15-06-2020,0.145170455,1,3,0.333333333
AR,17-06-2020,-0.003125,1,3,0.333333333
AR,18-06-2020,0.185565476,3,1,3
AR,19-06-2020,0.2520671,2,1,2
AR,20-06-2020,0.3375,2,2,1
AR,30-06-2020,0.189772727,2,2,1
AR,07-07-2020,0.35625,1,1,1
AR,21-07-2020,0.202604167,1,5,0.2
AR,25-07-2020,0.120833334,1,1,1
AR,16-08-2020,0.228535354,2,2,1
AR,18-08-2020,0.222222222,1,1,1
AR,21-08-2020,0.553703704,1,1,1
AR,23-08-2020,0.15,1,2,0.5
