Country,Date,Sentiment Score,Positive,Negative,ratio
AE,23-03-2020,0.113678023,8,25,0.32
AE,30-03-2020,0.144240704,16,27,0.592592593
AE,06-04-2020,0.121101641,10,24,0.416666667
AE,13-04-2020,0.231718205,17,15,1.133333333
AE,20-04-2020,0.161863952,18,14,1.285714286
AE,27-04-2020,0.165289843,17,28,0.607142857
AE,04-05-2020,0.199584617,25,34,0.735294118
AE,11-05-2020,0.167580144,17,27,0.62962963
AE,18-05-2020,0.137544888,13,22,0.590909091
AE,25-05-2020,0.122100925,17,47,0.361702128
AE,01-06-2020,0.14925796,20,33,0.606060606
AE,08-06-2020,0.158928262,20,32,0.625
AE,15-06-2020,0.137416594,16,34,0.470588235
AE,22-06-2020,0.211280738,20,21,0.952380952
AE,29-06-2020,0.190965584,22,21,1.047619048
AE,06-07-2020,0.154224599,13,21,0.619047619
AE,13-07-2020,0.149495935,18,24,0.75
AE,20-07-2020,0.129148425,10,17,0.588235294
AE,27-07-2020,0.197812239,17,21,0.80952381
AE,03-08-2020,0.128446571,19,22,0.863636364
AE,10-08-2020,0.184120618,8,9,0.888888889
AE,17-08-2020,0.169824811,17,23,0.739130435
AE,24-08-2020,0.153379239,14,26,0.538461538
AE,31-08-2020,0.208595261,24,23,1.043478261
AE,07-09-2020,0.220196783,24,20,1.2
AE,14-09-2020,0.221799134,14,11,1.272727273
AE,21-09-2020,0.150577201,4,7,0.571428571
AE,28-09-2020,0.279680736,7,7,1
AE,05-10-2020,0.180357143,7,7,1
AE,12-10-2020,0.077623118,8,34,0.235294118
AE,19-10-2020,-0.012727865,4,28,0.142857143
AE,26-10-2020,0.086675084,9,18,0.5
AE,02-11-2020,0.229079254,6,7,0.857142857
AE,09-11-2020,0.185876623,4,7,0.571428571
AE,23-11-2020,0.18125,2,2,1
AF,04-05-2020,0.21875,1,1,1
AG,17-08-2020,0.098611111,1,5,0.2
AG,31-08-2020,0.151388889,1,1,1
AL,25-05-2020,0.065740741,1,1,1
AO,04-05-2020,0.166666667,2,1,2
AQ,27-04-2020,0.09375,1,3,0.333333333
AQ,04-05-2020,0.208333334,1,1,1
AQ,18-05-2020,0.114583334,1,1,1
AR,30-03-2020,0.10952381,1,2,0.5
AR,27-04-2020,0.094633838,2,4,0.5
AR,04-05-2020,0.094300144,4,17,0.235294118
AR,11-05-2020,0.1375,5,13,0.384615385
AR,18-05-2020,0.037436869,2,16,0.125
AR,25-05-2020,0.166078102,5,15,0.333333333
AR,01-06-2020,0.093939394,3,13,0.230769231
AR,08-06-2020,0.048888889,2,13,0.153846154
AR,15-06-2020,0.013015791,3,19,0.157894737
AR,22-06-2020,0.178586071,9,8,1.125
AR,29-06-2020,0.057511273,3,5,0.6
AR,06-07-2020,0.116774892,2,5,0.4
AR,13-07-2020,0.088219697,1,9,0.111111111
AR,20-07-2020,0.176041667,2,2,1
AR,27-07-2020,0.112099359,2,11,0.181818182
AR,17-08-2020,0.11037984,3,9,0.333333333
AR,24-08-2020,0.219629629,3,7,0.428571429
AR,31-08-2020,0.125,1,3,0.333333333
AR,14-09-2020,0.231111111,2,1,2
AR,28-09-2020,0.2,1,2,0.5
AR,12-10-2020,0.053125,2,6,0.333333333
AR,19-10-2020,0.064285715,2,2,1
AR,09-11-2020,0.0375,1,3,0.333333333
AT,23-03-2020,0.157986111,3,5,0.6
AT,30-03-2020,0.103461199,3,6,0.5
AT,13-04-2020,0.154513889,6,3,2
AT,20-04-2020,0.099013799,1,6,0.166666667
AT,27-04-2020,0.112554112,3,4,0.75
AT,04-05-2020,0.037300108,5,20,0.25
AT,11-05-2020,0.131929363,3,6,0.5
AT,18-05-2020,0.019081633,1,6,0.166666667
AT,25-05-2020,0.006599327,2,13,0.153846154
AT,01-06-2020,0.179761905,4,8,0.5
AT,08-06-2020,0.055925926,7,11,0.636363636
AT,15-06-2020,0.044318182,4,18,0.222222222
AT,22-06-2020,0.098402477,3,9,0.333333333
AT,29-06-2020,0.062037037,2,7,0.285714286
AT,06-07-2020,0.054492845,1,5,0.2
AT,13-07-2020,0.131186869,3,6,0.5
AT,20-07-2020,0.126428571,1,4,0.25
AT,27-07-2020,0.027662037,1,5,0.2
AT,03-08-2020,0.141784722,4,6,0.666666667
AT,10-08-2020,0.094236111,1,5,0.2
AT,17-08-2020,0.119622507,4,9,0.444444444
AT,24-08-2020,0.289027778,5,5,1
AT,31-08-2020,0.095899471,4,14,0.285714286
AT,07-09-2020,0.141583525,1,7,0.142857143
AT,14-09-2020,-0.053601491,1,8,0.125
AT,21-09-2020,-0.015637401,1,7,0.142857143
AT,26-10-2020,0.085512265,2,13,0.153846154
AT,02-11-2020,0.089393939,4,7,0.571428571
AT,09-11-2020,0.166666667,3,2,1.5
AU,23-03-2020,0.100280313,10,26,0.384615385
AU,30-03-2020,0.106217399,27,58,0.465517241
AU,06-04-2020,0.139957167,17,30,0.566666667
AU,13-04-2020,0.199969896,16,17,0.941176471
AU,20-04-2020,0.15147433,18,39,0.461538462
AU,27-04-2020,0.168694151,36,64,0.5625
AU,04-05-2020,0.109084578,66,167,0.395209581
AU,11-05-2020,0.130678485,72,147,0.489795918
AU,18-05-2020,0.125883455,58,104,0.557692308
AU,25-05-2020,0.122833673,59,124,0.475806452
AU,01-06-2020,0.13449639,62,112,0.553571429
AU,08-06-2020,0.113897124,42,96,0.4375
AU,15-06-2020,0.141649347,56,101,0.554455446
AU,22-06-2020,0.168288888,62,102,0.607843137
AU,29-06-2020,0.173720865,55,74,0.743243243
AU,06-07-2020,0.12576946,59,101,0.584158416
AU,13-07-2020,0.116185673,109,261,0.417624521
AU,20-07-2020,0.165292255,76,121,0.628099174
AU,27-07-2020,0.160060464,82,143,0.573426573
AU,03-08-2020,0.167321427,111,168,0.660714286
AU,10-08-2020,0.147214005,32,54,0.592592593
AU,17-08-2020,0.139028228,112,181,0.61878453
AU,24-08-2020,0.139870367,94,187,0.502673797
AU,31-08-2020,0.152384323,87,154,0.564935065
AU,07-09-2020,0.133222857,102,155,0.658064516
AU,14-09-2020,0.178958937,43,70,0.614285714
AU,21-09-2020,0.13192468,27,55,0.490909091
AU,28-09-2020,0.086944475,23,58,0.396551724
AU,05-10-2020,0.114131975,20,53,0.377358491
AU,12-10-2020,0.181103348,48,88,0.545454545
AU,19-10-2020,0.145152423,42,120,0.35
AU,26-10-2020,0.117626542,44,103,0.427184466
AU,02-11-2020,0.244246837,45,38,1.184210526
AU,09-11-2020,0.17696069,21,22,0.954545455
AU,16-11-2020,0.114680252,24,49,0.489795918
AU,23-11-2020,0.164799783,9,19,0.473684211
AW,23-03-2020,0.3125,1,1,1
AW,04-05-2020,0.042382155,1,2,0.5
AW,25-05-2020,0.366666667,1,1,1
AZ,27-07-2020,0.125,1,1,1
BB,30-03-2020,0.418518519,2,1,2
BB,20-04-2020,0.096180556,1,1,1
BB,27-04-2020,0.180952381,1,1,1
BB,04-05-2020,0.213192415,4,6,0.666666667
BB,11-05-2020,0.153425325,2,3,0.666666667
BB,25-05-2020,0.274738005,3,3,1
BB,01-06-2020,0.234848485,1,1,1
BB,15-06-2020,0.268087121,8,3,2.666666667
BB,06-07-2020,0.233333334,1,1,1
BB,03-08-2020,0.092956349,2,5,0.4
BB,10-08-2020,0.416666667,2,1,2
BB,14-09-2020,0.157142857,1,1,1
BB,02-11-2020,0.1,1,2,0.5
BD,23-03-2020,0.04875,1,4,0.25
BD,30-03-2020,-0.020694444,1,9,0.111111111
BD,13-04-2020,0.14,1,4,0.25
BD,04-05-2020,0.207925408,5,8,0.625
BD,11-05-2020,0.101747016,2,9,0.222222222
BD,18-05-2020,0.221238095,1,4,0.25
BD,25-05-2020,0.126057654,4,7,0.571428571
BD,01-06-2020,0.078958333,1,9,0.111111111
BD,08-06-2020,0.245555556,3,2,1.5
BD,15-06-2020,-0.010933196,1,10,0.1
BD,22-06-2020,0.125027056,4,10,0.4
BD,29-06-2020,0.020637175,1,10,0.1
BD,06-07-2020,-0.046704546,2,8,0.25
BD,13-07-2020,0.099622243,7,14,0.5
BD,27-07-2020,-0.000784632,2,12,0.166666667
BD,03-08-2020,0.071428571,1,6,0.166666667
BD,17-08-2020,0.089051347,2,13,0.153846154
BD,24-08-2020,0.013920454,1,7,0.142857143
BD,31-08-2020,0.135909091,1,4,0.25
BD,05-10-2020,0.175,5,3,1.666666667
BD,19-10-2020,0.354166666,2,2,1
BD,09-11-2020,0.330902778,2,2,1
BD,16-11-2020,0.2925,3,2,1.5
BE,23-03-2020,0.04469697,1,11,0.090909091
BE,30-03-2020,0.09200487,5,9,0.555555556
BE,06-04-2020,0.01344697,3,6,0.5
BE,13-04-2020,0.074884562,9,30,0.3
BE,20-04-2020,-0.02028114,4,19,0.210526316
BE,27-04-2020,-0.053541667,2,10,0.2
BE,04-05-2020,0.234230074,8,10,0.8
