source_airport_country,dest_airport_country,counts,flight_capacity
Afghanistan,Azerbaijan,1,161
Afghanistan,India,6,986
Afghanistan,Iran,5,545
Afghanistan,Kuwait,1,161
Afghanistan,Pakistan,4,410
Afghanistan,Tajikistan,1,120
Afghanistan,Turkey,2,408
Afghanistan,United Arab Emirates,4,751
Albania,Germany,2,244
Albania,Greece,2,180
Albania,Italy,24,4016
Albania,Turkey,1,132
Albania,United Kingdom,1,161
Algeria,Austria,1,129
Algeria,Belgium,1,129
Algeria,Burkina Faso,1,129
Algeria,Canada,1,257
Algeria,China,1,257
Algeria,Ivory Coast,1,184
Algeria,Egypt,2,287
Algeria,France,56,8616
Algeria,Germany,3,393
Algeria,Italy,3,334
Algeria,Jordan,2,287
Algeria,Lebanon,1,129
Algeria,Libya,2,267
Algeria,Mali,1,184
Algeria,Malta,1,132
Algeria,Morocco,1,229
Algeria,Niger,1,184
Algeria,Portugal,1,129
Algeria,Qatar,1,396
Algeria,Russia,1,129
Algeria,Saudi Arabia,2,532
Algeria,Senegal,1,184
Algeria,Spain,12,1783
Algeria,Switzerland,1,129
Algeria,Tunisia,1,129
Algeria,Turkey,5,865
Algeria,United Arab Emirates,2,653
Algeria,United Kingdom,2,287
American Samoa,United States,1,229
Angola,Brazil,2,792
Angola,China,1,317
Angola,Congo,1,145
Angola,Congo,4,1108
Angola,Cuba,1,317
Angola,Ethiopia,2,792
Angola,France,1,396
Angola,Germany,1,277
Angola,Kenya,1,184
Angola,Morocco,1,229
Angola,Mozambique,1,5
Angola,Namibia,3,422
Angola,Netherlands,1,257
Angola,Portugal,2,673
Angola,Sao Tome and Principe,1,145
Angola,South Africa,1,317
Angola,Spain,1,277
Angola,United Arab Emirates,1,317
Angola,United Kingdom,2,780
Angola,Zimbabwe,1,145
Anguilla,Antigua and Barbuda,1,56
Anguilla,Netherlands,2,29
Anguilla,Puerto Rico,1,9
Antigua and Barbuda,Barbados,1,184
Antigua and Barbuda,Canada,1,158
Antigua and Barbuda,Dominican Republic,3,828
Antigua and Barbuda,France,1,18
Antigua and Barbuda,Germany,1,229
Antigua and Barbuda,Guadeloupe,2,129
Antigua and Barbuda,Jamaica,1,184
Antigua and Barbuda,Puerto Rico,1,282
Antigua and Barbuda,Saint Kitts and Nevis,3,789
Antigua and Barbuda,Saint Lucia,2,559
Antigua and Barbuda,Trinidad and Tobago,2,780
Antigua and Barbuda,United Kingdom,3,1057
Antigua and Barbuda,United States,6,1000
Argentina,Bolivia,2,328
Argentina,Brazil,25,4482
Argentina,Chile,7,1262
Argentina,Colombia,2,552
Argentina,Dominican Republic,1,229
Argentina,Ecuador,1,132
Argentina,Falkland Islands,1,158
Argentina,France,2,634
Argentina,Germany,1,304
Argentina,Italy,2,612
Argentina,Mexico,1,295
Argentina,Netherlands,1,390
Argentina,Panama,2,368
Argentina,Paraguay,4,696
Argentina,Peru,3,577
Argentina,Spain,3,837
Argentina,United Kingdom,1,390
Argentina,United States,7,2436
Argentina,Uruguay,9,1713
Argentina,Venezuela,2,552
Armenia,Austria,1,197
Armenia,Belarus,1,76
Armenia,Czech Republic,2,264
Armenia,France,3,474
Armenia,Greece,1,124
Armenia,Iran,1,109
Armenia,Lebanon,1,158
Armenia,Poland,1,76
Armenia,Russia,23,2996
Armenia,Ukraine,1,50
Armenia,United Arab Emirates,1,158
Aruba,Canada,1,132
Aruba,Colombia,1,158
Aruba,Dominican Republic,2,174
Aruba,Netherlands,1,229
Aruba,Netherlands,2,486
Aruba,Suriname,1,138
Aruba,United States,16,2542
Aruba,Venezuela,10,1397
Australia,Brunei,1,310
Australia,Canada,1,317
Australia,Chile,2,608
Australia,China,16,4082
Australia,Cook Islands,1,229
Australia,East Timor,2,152
Australia,Fiji,1,158
Australia,Guam,1,184
Australia,Hong Kong,14,4016
Australia,India,2,484
Australia,Indonesia,21,4220
Australia,Japan,15,3905
Australia,Malaysia,13,3553
Australia,Mauritius,1,247
Australia,Nauru,1,138
Australia,New Caledonia,1,158
Australia,New Zealand,43,9795
Australia,Norfolk Island,2,316
Australia,Papua New Guinea,6,828
Australia,Philippines,4,989
Australia,Qatar,2,713
Australia,Singapore,33,9741
Australia,Solomon Islands,1,158
Australia,South Africa,2,608
Australia,South Korea,5,1505
Australia,Taiwan,3,801
Australia,Thailand,11,3588
