Country,Date,Sentiment Score,Positive,Negative
GB,2020-03-23,0.11464050430584195,239,52
MA,2020-03-23,0.0,1,1
BE,2020-03-23,0.04469696966666666,11,1
RS,2020-03-23,0.4180555556666667,2,1
MY,2020-03-23,0.10867003366666667,7,2
AT,2020-03-23,0.157986111125,7,1
LR,2020-03-23,0.05454545425,3,1
US,2020-03-23,0.1292192129513512,1099,196
NZ,2020-03-23,0.0885744948,7,3
TH,2020-03-23,0.20560606054545458,10,1
SA,2020-03-23,0.19999999999999998,2,1
IL,2020-03-23,0.11666666659999998,4,1
CN,2020-03-23,-0.007859848374999992,5,3
ZA,2020-03-23,0.09493188333333333,45,15
DK,2020-03-23,0.10432954539999999,4,1
DE,2020-03-23,0.08636522720833333,58,14
AU,2020-03-23,0.10028031344444445,29,7
PH,2020-03-23,0.10958423514285716,10,4
BR,2020-03-23,0.185,15,5
VN,2020-03-23,-0.05432098766666666,3,3
PK,2020-03-23,0.18174953614285713,31,4
IN,2020-03-23,0.15780567747709912,458,66
IT,2020-03-23,0.10443618884615383,10,3
IE,2020-03-23,0.04888327720000001,10,5
MX,2020-03-23,0.12863455983333336,4,2
BS,2020-03-23,0.008333333000000005,1,1
GH,2020-03-23,0.018485958461538474,9,4
PT,2020-03-23,-0.0066666666,4,1
SE,2020-03-23,0.13157144355555556,8,1
CH,2020-03-23,0.13545673076923076,12,1
DO,2020-03-23,0.3309895835,1,1
CA,2020-03-23,0.16688062318309863,61,10
ID,2020-03-23,0.137668473,25,6
NG,2020-03-23,0.19485976852032513,110,13
SG,2020-03-23,0.0010416667499999963,1,3
ES,2020-03-23,0.1574242424,13,2
AE,2020-03-23,0.113678023,29,4
KE,2020-03-23,0.14209350648000002,21,4
NO,2020-03-23,-0.20833333333333334,2,1
UG,2020-03-23,0.1978819445,8,2
NL,2020-03-23,0.2052334628863636,38,6
JP,2020-03-23,-0.013255571666666667,7,2
HK,2020-03-30,-0.111111111,1,1
NO,2020-03-30,0.04875,4,1
CA,2020-03-30,0.11906170274400005,104,21
QA,2020-03-30,0.192782738125,7,1
AU,2020-03-30,0.10621739889411763,66,19
BH,2020-03-30,-0.06671340825,2,2
IT,2020-03-30,0.21045868733333334,23,4
MX,2020-03-30,0.08229166662500001,7,1
TR,2020-03-30,0.10362344408333332,34,2
TZ,2020-03-30,0.323015873,6,1
GB,2020-03-30,0.10605974374714836,429,97
UG,2020-03-30,0.1421631730526316,17,2
IE,2020-03-30,0.07591208126315789,16,3
PH,2020-03-30,0.05426925503846154,23,3
BR,2020-03-30,0.2544919639655172,27,2
AE,2020-03-30,0.14424070439534883,37,6
NL,2020-03-30,0.1804033585217391,63,6
CW,2020-03-30,-0.13333333333333333,2,1
PK,2020-03-30,0.06491399374999998,36,8
ID,2020-03-30,0.12131819098305084,53,6
GH,2020-03-30,0.09978277674285714,28,7
CY,2020-03-30,0.12465277775,3,1
BD,2020-03-30,-0.0206944444,6,4
IN,2020-03-30,0.1613271939518071,580,84
EG,2020-03-30,0.029166666666666664,5,1
DK,2020-03-30,0.10925925922222222,8,1
JM,2020-03-30,0.10421964,18,1
CZ,2020-03-30,0.049537037000000006,2,1
ES,2020-03-30,0.02924100784615384,22,4
DE,2020-03-30,0.1479536967195122,74,8
JP,2020-03-30,0.26788676231578945,18,1
US,2020-03-30,0.12384396976013863,1708,314
NZ,2020-03-30,0.110273756875,13,3
NP,2020-03-30,0.1558874459090909,10,1
SG,2020-03-30,0.023148148111111114,7,2
SA,2020-03-30,0.11399147724999997,7,1
ZA,2020-03-30,0.10344864603738321,85,22
HU,2020-03-30,-0.017803030333333334,2,1
CN,2020-03-30,0.07752074312499999,5,3
JO,2020-03-30,0.025,1,1
SE,2020-03-30,0.16823998925,16,4
MY,2020-03-30,0.13122970778571427,10,4
NG,2020-03-30,0.13951200830468752,215,41
AT,2020-03-30,0.10346119922222223,7,2
FR,2020-03-30,0.06666852926086957,15,8
SI,2020-03-30,0.02996633,2,1
KR,2020-03-30,0.0001302082499999857,3,1
BE,2020-03-30,0.09200487014285715,11,3
KE,2020-03-30,0.24388837448888886,42,3
NL,2020-04-06,0.0748377573773585,40,13
UG,2020-04-06,0.02723930482352941,15,2
GR,2020-04-06,0.12520461314285716,6,1
NG,2020-04-06,0.15084234816774197,136,19
BE,2020-04-06,0.01344696966666666,8,1
ID,2020-04-06,0.21293650788571428,33,2
IE,2020-04-06,0.036428571428571435,30,5
TR,2020-04-06,0.08869206770588235,15,2
NO,2020-04-06,0.1666666666,4,1
CN,2020-04-06,0.06145833337499999,6,2
IN,2020-04-06,0.15615584252316894,586,83
IL,2020-04-06,-0.1158333334,9,6
MY,2020-04-06,0.1732077922,9,1
BR,2020-04-06,0.10362654322222221,21,6
SE,2020-04-06,0.11300287351724132,23,6
ZA,2020-04-06,0.1023354751,50,10
SA,2020-04-06,0.10357142857142856,5,2
FI,2020-04-06,0.14283333339999998,4,1
US,2020-04-06,0.1408355340125994,1293,215
DE,2020-04-06,0.09868109084523817,69,15
PH,2020-04-06,-0.033641975333333324,7,2
TH,2020-04-06,-0.09091516678947369,12,7
AT,2020-04-06,-0.15,6,2
CH,2020-04-06,0.048023907863636354,19,3
FR,2020-04-06,0.06796875000000001,16,5
DK,2020-04-06,0.07722030575,6,2
KR,2020-04-06,0.04706101187499999,11,5
